scale,capability,region,radius,radius_label,n,mean_delta,median_delta,std_delta,min_delta,max_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass,q25,q50,q75,q90,q95
3B,relational_reasoning,language,0.0035698828543799426,small,64,-0.010937500000000011,-0.010000000000000009,0.019978015260530776,-0.040000000000000036,0.039999999999999925,0.140625,0.5,0.140625,0.0,0.003125000000000001,0.014062500000000012,-0.020000000000000018,-0.010000000000000009,0.0,0.020000000000000018,0.020000000000000018
3B,fine_grained_recognition,language,0.0035698828543799426,small,64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3B,visual_grounding,language,0.017849414271899712,mid,64,0.0003125000000000003,0.0,0.002480391854123056,0.0,0.020000000000000018,0.015625,1.0,0.015625,0.0,0.0003125000000000003,0.0,0.0,0.0,0.0,0.0,0.0
3B,counting,language,0.017849414271899712,mid,64,0.007812499999999965,0.0,0.010378576190884716,0.0,0.039999999999999925,0.375,1.0,0.015625,0.0,0.007812499999999965,0.0,0.0,0.0,0.019999999999999907,0.019999999999999907,0.019999999999999907
3B,spatial_reasoning,language,0.017849414271899712,mid,64,0.021875000000000033,0.020000000000000018,0.03076498618559742,-0.05999999999999994,0.10000000000000009,0.703125,0.859375,0.703125,0.140625,0.026562500000000024,0.0046874999999999886,0.0,0.020000000000000018,0.040000000000000036,0.06000000000000005,0.06000000000000005
3B,ocr_text_recognition_grounded,language,0.017849414271899712,mid,64,-0.007218749999999991,0.0,0.011525066092543664,-0.039999999999999925,0.0020000000000000018,0.1875,0.65625,0.0,0.0,0.00037500000000000033,0.007593749999999991,-0.018499999999999933,0.0,0.0,0.0020000000000000018,0.0020000000000000018
3B,relational_reasoning,language,0.017849414271899712,mid,64,0.004999999999999982,0.0,0.030618621784789718,-0.040000000000000036,0.07999999999999996,0.40625,0.640625,0.40625,0.109375,0.01468749999999999,0.009687500000000009,-0.020000000000000018,0.0,0.020000000000000018,0.05399999999999999,0.05999999999999994
3B,fine_grained_recognition,language,0.017849414271899712,mid,64,-0.008749999999999987,0.0,0.012686114456365262,-0.03999999999999998,0.0,0.0,0.640625,0.0,0.0,0.0,0.008749999999999987,-0.019999999999999962,0.0,0.0,0.0,0.0
3B,visual_grounding,language,0.07139765708759885,transition,64,-0.0037500000000000033,0.0,0.016909686573085867,-0.040000000000000036,0.020000000000000018,0.203125,0.6875,0.203125,0.0,0.004062500000000004,0.007812500000000007,-0.020000000000000018,0.0,0.0,0.020000000000000018,0.020000000000000018
3B,counting,language,0.07139765708759885,transition,64,-0.0037500000000000398,0.0,0.027128168017763365,-0.08000000000000007,0.039999999999999925,0.328125,0.640625,0.09375,0.0,0.008437499999999971,0.01218750000000001,-0.020000000000000018,0.0,0.019999999999999907,0.019999999999999907,0.039999999999999925
3B,spatial_reasoning,language,0.07139765708759885,transition,64,-0.004687499999999952,0.010000000000000009,0.07059941461336632,-0.23999999999999994,0.10000000000000009,0.5,0.578125,0.5,0.25,0.025625000000000023,0.030312499999999975,-0.04499999999999993,0.010000000000000009,0.04500000000000004,0.06000000000000005,0.09699999999999998
3B,ocr_text_recognition_grounded,language,0.07139765708759885,transition,64,-0.03965624999999994,-0.03799999999999992,0.02476528489514101,-0.11199999999999999,0.020000000000000018,0.078125,0.109375,0.015625,0.0,0.00046875000000000215,0.040124999999999945,-0.05799999999999994,-0.03799999999999992,-0.020000000000000018,-0.004799999999999926,0.0020000000000000018
3B,relational_reasoning,language,0.07139765708759885,transition,64,-0.02406250000000003,-0.020000000000000018,0.058221526034191166,-0.18000000000000005,0.12,0.28125,0.359375,0.28125,0.09375,0.013124999999999989,0.03718750000000002,-0.06000000000000005,-0.020000000000000018,0.020000000000000018,0.039999999999999925,0.05999999999999994
3B,fine_grained_recognition,language,0.07139765708759885,transition,64,-0.04781249999999998,-0.03999999999999998,0.04162589150696955,-0.15999999999999998,0.06,0.0625,0.171875,0.0625,0.015625,0.002187500000000001,0.04999999999999998,-0.06499999999999999,-0.03999999999999998,-0.019999999999999962,0.0,0.0169999999999999
7B,visual_grounding,vision,0.0035698828543799426,small,64,0.005625000000000021,0.0,0.01519405722642901,-0.019999999999999907,0.040000000000000036,0.375,0.859375,0.375,0.0,0.008437500000000007,0.002812499999999987,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
7B,counting,vision,0.0035698828543799426,small,64,-0.008749999999999963,0.0,0.011110243021644445,-0.039999999999999925,0.0,0.0,0.59375,0.0,0.0,0.0,0.008749999999999963,-0.019999999999999907,0.0,0.0,0.0,0.0
7B,spatial_reasoning,vision,0.0035698828543799426,small,64,0.0012500000000000011,0.0,0.0048412291827592754,0.0,0.020000000000000018,0.0625,1.0,0.0625,0.0,0.0012500000000000011,0.0,0.0,0.0,0.0,0.0,0.0169999999999999
7B,ocr_text_recognition_grounded,vision,0.0035698828543799426,small,64,-0.0015625000000000014,0.0,0.005367363761661776,-0.020000000000000018,0.0,0.0,0.921875,0.0,0.0,0.0,0.0015625000000000014,0.0,0.0,0.0,0.0,0.0
7B,relational_reasoning,vision,0.0035698828543799426,small,64,-0.02437500000000002,-0.020000000000000018,0.018189540263569077,-0.06000000000000005,0.020000000000000018,0.046875,0.203125,0.046875,0.0,0.0009375000000000008,0.025312500000000022,-0.040000000000000036,-0.020000000000000018,-0.020000000000000018,0.0,0.0
7B,fine_grained_recognition,vision,0.0035698828543799426,small,64,-0.0003125000000000003,0.0,0.002480391854123056,-0.020000000000000018,0.0,0.0,0.984375,0.0,0.0,0.0,0.0003125000000000003,0.0,0.0,0.0,0.0,0.0
7B,visual_grounding,vision,0.017849414271899712,mid,64,0.009687500000000019,0.0,0.018025047676774673,-0.019999999999999907,0.08000000000000007,0.4375,0.90625,0.4375,0.015625,0.01156250000000001,0.0018749999999999913,0.0,0.0,0.020000000000000018,0.034000000000000086,0.040000000000000036
7B,counting,vision,0.017849414271899712,mid,64,-0.017812499999999943,-0.019999999999999907,0.01662723199302876,-0.07999999999999996,0.0,0.0,0.34375,0.0,0.0,0.0,0.017812499999999943,-0.019999999999999907,-0.019999999999999907,0.0,0.0,0.0
7B,spatial_reasoning,vision,0.017849414271899712,mid,64,0.007500000000000007,0.0,0.009682458365518551,0.0,0.020000000000000018,0.375,1.0,0.375,0.0,0.007500000000000007,0.0,0.0,0.0,0.020000000000000018,0.020000000000000018,0.020000000000000018
