capability,anatomy_region,radius,n,mean_delta,median_delta,std_delta,p_delta_gt_0,density_ge_0.0,density_ge_0.02,density_ge_0.05,positive_thicket_mass,negative_mass
counting,vision_mid,0.07139765708759885,64,0.008437499999999957,0.0,0.016509348677340333,0.453125,0.921875,0.078125,0.0,0.010624999999999959,0.002187500000000002
counting,vision_late,0.0035698828543799426,64,0.004999999999999977,0.0,0.008660254037844345,0.25,1.0,0.0,0.0,0.004999999999999977,0.0
counting,vision_late,0.017849414271899712,64,0.008124999999999962,0.0,0.009822646028438523,0.40625,1.0,0.0,0.0,0.008124999999999962,0.0
counting,vision_late,0.07139765708759885,64,0.00906249999999996,0.0,0.015382493092798674,0.4375,0.921875,0.09375,0.0,0.01062499999999996,0.0015625000000000014
counting,language_early,0.0035698828543799426,64,0.004999999999999977,0.0,0.008660254037844347,0.25,1.0,0.0,0.0,0.004999999999999977,0.0
counting,language_early,0.017849414271899712,64,0.007812499999999965,0.0,0.010378576190884716,0.375,1.0,0.015625,0.0,0.007812499999999965,0.0
counting,language_early,0.07139765708759885,64,-0.0012500000000000393,0.0,0.025950674365033347,0.34375,0.625,0.125,0.015625,0.00968749999999997,0.01093750000000001
counting,language_mid,0.0035698828543799426,64,0.002812499999999987,0.0,0.006952686081652151,0.140625,1.0,0.0,0.0,0.002812499999999987,0.0
counting,language_mid,0.017849414271899712,64,0.00437499999999998,0.0,0.008267972847076808,0.21875,1.0,0.0,0.0,0.00437499999999998,0.0
counting,language_mid,0.07139765708759885,64,0.005312499999999963,0.0,0.015508943992096916,0.375,0.84375,0.046875,0.0,0.008437499999999966,0.0031250000000000028
counting,language_late,0.0035698828543799426,64,0.0012499999999999942,0.0,0.0048412291827592486,0.0625,1.0,0.0,0.0,0.0012499999999999942,0.0
counting,language_late,0.017849414271899712,64,0.00437499999999998,0.0,0.008267972847076808,0.21875,1.0,0.0,0.0,0.00437499999999998,0.0
counting,language_late,0.07139765708759885,64,0.00843749999999996,0.0,0.011070618489948926,0.421875,0.984375,0.015625,0.0,0.008749999999999961,0.0003125000000000003
spatial_reasoning,vision_early,0.0035698828543799426,64,-0.003124999999999963,0.0,0.015499495959546526,0.171875,0.640625,0.171875,0.0,0.004062500000000004,0.0071874999999999665
spatial_reasoning,vision_early,0.017849414271899712,64,-0.0006249999999999745,0.0,0.014986973510352226,0.1875,0.765625,0.1875,0.0,0.004375000000000004,0.004999999999999978
spatial_reasoning,vision_early,0.07139765708759885,64,-0.002187499999999962,0.0,0.01771905312791852,0.171875,0.640625,0.171875,0.015625,0.0050000000000000044,0.0071874999999999665
spatial_reasoning,vision_mid,0.0035698828543799426,64,0.004062500000000023,0.0,0.014654217609616674,0.359375,0.828125,0.359375,0.0,0.007500000000000007,0.003437499999999984
spatial_reasoning,vision_mid,0.017849414271899712,64,0.00062500000000003,0.0,0.016189792308735747,0.296875,0.734375,0.296875,0.0,0.0062500000000000056,0.0056249999999999755
spatial_reasoning,vision_mid,0.07139765708759885,64,-0.002187499999999962,0.0,0.01907786266199647,0.234375,0.640625,0.234375,0.0,0.005937500000000005,0.008124999999999967
spatial_reasoning,vision_late,0.0035698828543799426,64,0.00031250000000002977,0.0,0.014786897705401196,0.28125,0.734375,0.28125,0.0,0.005625000000000005,0.005312499999999975
spatial_reasoning,vision_late,0.017849414271899712,64,0.0018750000000000242,0.0,0.015296547813150499,0.296875,0.796875,0.296875,0.0,0.0062500000000000056,0.004374999999999981
spatial_reasoning,vision_late,0.07139765708759885,64,0.00031250000000002977,0.0,0.01952312330929657,0.3125,0.734375,0.3125,0.0,0.007187500000000006,0.006874999999999977
spatial_reasoning,language_early,0.0035698828543799426,64,0.0028125000000000303,0.0,0.0165329925830141,0.359375,0.75,0.359375,0.0,0.007812500000000007,0.004999999999999977
spatial_reasoning,language_early,0.017849414271899712,64,0.010000000000000026,0.020000000000000018,0.02091650066335188,0.515625,0.84375,0.515625,0.015625,0.013750000000000012,0.003749999999999986
spatial_reasoning,language_early,0.07139765708759885,64,0.011562500000000052,0.040000000000000036,0.07244003446817236,0.578125,0.6875,0.578125,0.390625,0.03343750000000003,0.021874999999999978
spatial_reasoning,language_mid,0.0035698828543799426,64,-0.0024999999999999693,0.0,0.01346291201783623,0.171875,0.703125,0.171875,0.0,0.003437500000000003,0.005937499999999972
spatial_reasoning,language_mid,0.017849414271899712,64,0.010312500000000025,0.020000000000000018,0.01903686801314753,0.515625,0.859375,0.515625,0.0,0.013437500000000012,0.003124999999999987
